file_name	sample_id	sample_dim	gene_id	genes_annot
Arabidopsis_thaliana_count_matrix.h5	/meta/Sample_geo_accession	columns	TAIR id:/meta/genes	
Bos_taurus_count_matrix.h5	/meta/Sample_geo_accession	columns	ENSEMBLID:/meta/genes	
Caenorhabditis_elegans_count_matrix.h5	/meta/Sample_geo_accession	columns	WormBase id:/meta/genes	
Danio_rerio_count_matrix.h5	/meta/Sample_geo_accession	columns	ENSEMBLID:/meta/genes	
Drosophila_melanogaster_count_matrix.h5	/meta/Sample_geo_accession	columns	FlyBase id:/meta/genes	
Gallus_gallus_count_matrix.h5	/meta/Sample_geo_accession	columns	ENSEMBLID:/meta/genes	
Rattus_norvegicus_count_matrix.h5	/meta/Sample_geo_accession	columns	ENSEMBLID:/meta/genes	
Saccharomyces_cerevisiae_count_matrix.h5	/meta/Sample_geo_accession	columns	ORF id:/meta/genes	
human_gene_v2.2.h5	/meta/samples/geo_accession	rows	ENSEMBLID:/meta/genes/ensembl_gene_id	Gene symbol:meta/genes/symbol
mouse_gene_v2.2.h5	/meta/samples/geo_accession	rows	ENSEMBLID:/meta/genes/ensembl_gene_id	Gene symbol:meta/genes/symbol
